Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,
01/05/2024,55,PM2.5,East HS,39-153-0017,AirNow,.,16,55,,
02/05/2024,53,PM2.5,East HS,39-153-0017,AirNow,.,13,53,,
03/05/2024,36,Ozone,Lake Rockwell,39-133-1001,AQS,36,12,34,,
04/05/2024,41,Ozone,Lake Rockwell,39-133-1001,AQS,41,4,14,,
05/05/2024,44,Ozone,Lake Rockwell,39-133-1001,AQS,44,13,41,,
06/05/2024,44,PM2.5,East HS,39-153-0017,AQS,36,15,44,,
07/05/2024,52,PM2.5,East HS,39-153-0017,AQS,45,13,52,,
08/05/2024,57,PM2.5,East HS,39-153-0017,AQS,45,19,57,,
09/05/2024,77,Ozone,North HS,39-153-0026,AQS,77,16,29,,
10/05/2024,47,PM2.5,East HS,39-153-0017,AQS,36,14,47,,
11/05/2024,33,PM2.5,East HS,39-153-0017,AQS,.,15,33,,
12/05/2024,23,PM2.5,East HS,39-153-0017,AQS,.,9,23,,
01/06/2024,57,PM2.5,East HS,39-153-0017,AirNow,.,15,57,,
02/06/2024,28,PM2.5,East HS,39-153-0017,AQS,.,9,28,,
03/06/2024,48,PM2.5,East HS,39-153-0017,AQS,21,12,48,,
04/06/2024,43,Ozone,Lake Rockwell,39-133-1001,AQS,43,4,12,,
05/06/2024,44,Ozone,Lake Rockwell,39-133-1001,AQS,44,11,34,,
06/06/2024,48,Ozone,Lake Rockwell,39-133-1001,AQS,48,19,26,,
07/06/2024,47,Ozone,North HS,39-153-0026,AQS,47,14,46,,
08/06/2024,44,PM2.5,East HS,39-153-0017,AQS,43,15,44,,
09/06/2024,46,Ozone,Lake Rockwell,39-133-1001,AQS,46,13,37,,
10/06/2024,52,PM2.5,East HS,39-153-0017,AQS,51,28,52,,
11/06/2024,40,PM2.5,East HS,39-153-0017,AQS,.,12,40,,
12/06/2024,32,PM2.5,East HS,39-153-0017,AQS,.,12,32,,
01/07/2024,61,PM2.5,East HS,39-153-0017,AQS,.,18,61,,
02/07/2024,52,PM2.5,East HS,39-153-0017,AirNow,.,24,52,,
03/07/2024,26,Ozone,Lake Rockwell,39-133-1001,AQS,26,5,19,,
04/07/2024,48,Ozone,Lake Rockwell,39-133-1001,AQS,48,7,24,,
05/07/2024,46,Ozone,Lake Rockwell,39-133-1001,AQS,46,11,27,,
06/07/2024,39,Ozone,Lake Rockwell,39-133-1001,AQS,39,17,21,,
07/07/2024,64,PM2.5,East HS,39-153-0017,AQS,58,21,64,,
08/07/2024,32,PM2.5,East HS,39-153-0017,AQS,26,10,32,,
09/07/2024,28,Ozone,North HS,39-153-0026,AQS,28,5,13,,
10/07/2024,27,PM2.5,East HS,39-153-0017,AQS,27,15,27,,
11/07/2024,34,PM2.5,East HS,39-153-0017,AQS,.,9,34,,
12/07/2024,36,PM2.5,East HS,39-153-0017,AQS,.,17,36,,
01/08/2024,62,PM2.5,East HS,39-153-0017,AirNow,.,19,62,,
02/08/2024,50,PM2.5,East HS,39-153-0017,AQS,.,22,50,,
